Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Abunai Hōkago: Mō Matenai,あ・ぶ・な・い・放課後　〈もう待てない……〉,Abunai Hōkago: Mō Matenai,あ・ぶ・な・い・放課後　〈もう待てない……〉,abunaihoukagomoumatenai,Japan,1989-03-25,Green Soft,Green Soft,#input:keyboard>mahjong #players:1 #genre:board>hanafuda #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:abunai,bc7fc86941bc1386f3d1897169352bfe,1ea44f441cade8eb7db2d40f5419f1f0e4c8ee5c,ce1e5cbb63eb2db59d6ed86f1bb7a02382a2dfaaf3041c20abaf0885e45791b9,18c56b1a4157d8160db63f4b1b7098fbc68252ccdc4841932ca1de46b2200407b5fac2648d5ce01d6debecebcc02feb1b33b3b64c1c7f5704a1d7c52c88799a4
Apparel Night,=,Apparel Night,=,apparelnight,Japan,1986-09-29,Central Denshi,Central Denshi,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:apparel,9772905722df5637ba782f9129b1cecc,0a82ea11726d5fecab0ab8c2cee5b918e35115e9,f984a216cb2d4cd310f81280680aa3e907cfbf956062ba4ff7962ea51c7da091,3c504fb423fdbd1f56a6b31adc1ac7c47a0f47556dc259b32305d450542c16e8672025de8ebd2d3f644cb52f9badb8426548a720ab4790a2ed3f916ae2536dd6
AV-Mahjong: Bishōjo no Sugao,AV-Mahjong 美少女の素顔,AV Mahjong: Bishōjo no Sugao,AV マージャン 美少女の素顔,avmahjongbishoujonosugao,Japan,1990,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
AV-Mahjong: Gal no Ichiban Shibori,AV-Mahjong: Galの一番搾り,AV Mahjong: Gal no Ichiban Shibori,AV Mahjong Galの一番搾り,avmahjonggalnoichibanshibori,Japan,1990,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
AV-Mahjong: Suhada no Yume Koibito,AV-Mahjong 素肌の夢戀人,AV Mahjong: Suhada no Yume Koibito,AV マージャン 素肌の夢戀人,avmahjongsuhadanoyumekoibito,Japan,1990,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
AV-Mahjong: Two Shot!,AV-Mahjong: Two Shot ツーショット!,AV-Mahjong Two Shot!,AV-Mahjong Two Shot ツーショット!,avmahjongtwoshot,Japan,1990-05-21,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:avmjts,58ab762fc281f0b968313e43c681be8e,9c33b9deb552910cb2d4ad5d512c05c54b54c30b,2cb298d2d7d79c87921ac20d56031f4eda6efd34dfd74ba14437307760d13b8b,9e40f6d2fee4d21273c2f593cbcc6623f26f1b44ef9f4772ba06fac612238023b8cc2faa32ae72393785ae93cc41140eaeaa857a021fcb41e5f08b61e7e5f11d
AV-Mahjong: Video no Yōsei,AV-Mahjong ビデオの妖精,AV Mahjong: Video no Yōsei,AV麻雀 ビデオの妖精,avmahjongvideonoyousei,Japan,1989,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
AV Mahjong Mōshūhen: Final Parade,AV麻雀 総集編 ファイナルぱれーど,AV Mahjong Mōshūhen: Final Parade,AV麻雀 総集編 ファイナルぱれーど,avmahjongmoushuuhenfinalparade,Japan,1991,AV Japan,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
AV2 Mahjong No.1: Bay Bridge no Seijo,AV2麻雀No.1　ベイブリッジの聖女,AV2 Mahjong No.1: Bay Bridge no Seijo,AV2麻雀No.1　ベイブリッジの聖女,av2mahjongno1baybridgenoseijo,Japan,1991-02,AV Japan,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:av2mj1bb,6f3515819019cab7a132226212f9ecec,955c46125885387c5cfbe2f555c8d4a52a5d3977,ca47feed62912b51883e5568b325a04eada1a6d9d5c082bf4a0e10fbedab8a33,d1c96448be08c8565212440af021aa1d3d32b234ea29fff1ee17e35d77cecaead8c5b98e6ac0fe4fc4d185c23b49bcc6e24ead316bceda9be88d9d7efd03493c
AV2 Mahjong No.2: Rouge no Kaori,AV2麻雀No.2　ルーッジュの香り,AV2 Mahjong No.2: Rouge no Kaori,AV2麻雀No.2　ルーッジュの香り,av2mahjongno2rougenokaori,Japan,1991-07,AV Japan,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:av2mj2rg,8c779e441107a304eb446db66ca41a63,1f06c34b43fa49a07d31fd8add8fedd7930955f4,932ab656c4d2535a8c529bbd7c071beac31aff25faf5e7e709bc029b8ae7d350,437d0f9883eee43faa4f1acd6c6cd024947f66b0b6553bcc2cda58438f6eebe01812758a5aee88f38d9498dd5cb1c2b8c68823346cc9cdf5fd59d94fb763ff95
Barline,=,Barline,=,barline,Japan,1988,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>3 #players:1 #genre:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #lang:en #mameparent #mamerom:barline,95750ed56e36c902d9875297b60ff5f8,cb8158a5d65cbf98938b59c432d2cc2dc5b5b7c1,4410757dd45c4a1ffd493d937fbab45bf455b6c4b1df655ff26ece4ebd2d2ffd,dbb3b760b1d9348e45efd6f6a03649803780a52ff896dee66432c31e42468ebbb3f0bf1559906efa01cf0ff65f36194177a9e4acaed35ef4334aa84c6d4f6381
Bijokko Gakuen,美女っ子学園,Bijokko Gakuen,美女っ子学園,bijokkogakuen,Japan,1988-01-16,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:bijokkog,1e0b64b553f60df90dffc753c1563b67,6c10f3c8251f9ae4bdec738c7b6bf11632a9f2d9,89eccd47523f46121492e47602fdfba6e93cb79fa5bb77cd0c0b8fa01aa092be,afa8d667ea84ed89e86b0bd7486b5282d283a90d24dd48dbab9916120d78e674b38d7ea395a2c21806f044d563651d03911172486e4d33f359af3d76ed081824
Bijokko Yume Monogatari,美女っ子夢物語,Bijokko Yume Monogatari,美女っ子夢物語 ファンタジックロマン,bijokkoyumemonogatari,Japan,1987-09-25,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:bijokkoy,c2a657dd98101dd99923e66a7f6edd38,1eb215d86f3c4ede8d54db27cac24110aef4f04e,128a8087ef6ede80e9254816913d8b60d09289e7114b1a131ffd92607908403c,cc37f0030a2ba3563b536a5743cc4faf7c2ab32784433edbb7d21229c171850d79979bc79938275aa93721a4080891c3bb4fc6517cc444825dc463d78d380732
Bikkuri ProWres,ビックリプロレス,Bikkuri ProWres,ビックリプロレス,bikkuriprowres,Japan,1988-12-21,Nihon Bussan,Nichibutsu,#input:buttons>5 #players:1 #genre:fighting:sports>wrestling #arcadeboard:nichibutsu #lang:ja #mameparent #mamerom:bikkuri,4d569e3e6b133bc30777ec8f18571fc9,8d6e06d9e3240efb2ee077e80dbb3cfc153faa21,d84d9d270b7802e612a8f3bb1d79a460fb46538bc3b3591133ff3fed5df9ff32,d756c78f7af4150ad9c17bd158e2a99ccc32da232e5f6e8a6e4ad0c278d72fde8d48d38f61d417ff6eea1e51eb3c0fb455038375ae19d09f949fba2e380c68e7
Bishōjo Janshi Pretty Sailor 18-kin,美少女雀士プリティセーラー18禁,Bishōjo Janshi Pretty Sailor 18-kin,美少女雀士プリティセーラー18禁,bishoujojanshiprettysailor18kin,Japan,1994-08,Sphinx,Sphinx,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:psailor1,8cdb935ad9fcf8dc96ed03191de05c28,f9f25c43a1a5fa4fd820e2bb292ce915ff8ebf98,937bdcdc30c0951d48c0e975eb058b5bc8213791b184abd81a09d405173253cb,74ab063a650ee4ad436c8190a3fa850872f55c351fc4b72d3a6990e8185f4507d2b704d1ad99dc6b90164b9da77a5f37c70adbec8560dd9452610388ec1e19c2
Bishōjo Janshi Pretty Sailor 2: H-nasasayaki,美少女雀士プリティセーラー2 Hなささやき,Bishōjo Janshi Pretty Sailor 2: H-nasasayaki,美少女雀士プリティセーラー2 Hなささやき,bishoujojanshiprettysailor2hnasasayaki,Japan,1994-10,Sphinx,Sphinx,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:psailor2,1edfe97536a792ef5475ebc17739a45a,1177827e7f4bbb0fa63f92dadb5db69109f4177c,880cb806ec8cc75125b8be93d82bcaf6d18b277d189fdf37e6f0b32db00c9950,440cb3acdbd556da47924b5d820b6efb066f3b5d7c3868a6d0f5b7359924734ed6199c9dcdcf2e93d10a7d3b33c23210c349eab39d1c16965f4e2227fc698648
Chōji Meikyū Legion,超時迷宮 Legion,Chōji Meikyū Legion: Spinner-87,超時迷宮 Legion レジオン Spinner-87,choujimeikyuulegion,Japan,1987-05,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v:action>runandgun #arcadeboard:nichibutsu #search:tate>ccw #set:1 #lang:en #mamerom:legion>legionj,a34ef105de178d8322e08afbab644bbb,17c6b5c6ca260180ec2e4243a2a5e74552ce096a,2c2ed089945c8c05b4e507288b4bfae78a8a6cd23e3b9d766c96faf4446272ac,0f71e43740a5efc414beb5e168e489935517fd43ee574bd560a94731e12313dd1fb8d2588c674892f532ae4ed5fc39ca32fead30e35e31ffdf305d5ef2ff60bb
Chōji Meikyū Legion,超時迷宮 Legion,Chōji Meikyū Legion: Spinner-87,超時迷宮 Legion レジオン Spinner-87,choujimeikyuulegion,Japan,1987,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v:action>runandgun #arcadeboard:nichibutsu #search:tate>ccw #set:2 #lang:en #mamerom:legion>legionj2,a34ef105de178d8322e08afbab644bbb,17c6b5c6ca260180ec2e4243a2a5e74552ce096a,2c2ed089945c8c05b4e507288b4bfae78a8a6cd23e3b9d766c96faf4446272ac,0f71e43740a5efc414beb5e168e489935517fd43ee574bd560a94731e12313dd1fb8d2588c674892f532ae4ed5fc39ca32fead30e35e31ffdf305d5ef2ff60bb
Chōji Meikyū Legion,超時迷宮 Legion,Chōji Meikyū Legion: Spinner-87,超時迷宮 Legion レジオン Spinner-87,choujimeikyuulegion,Japan,1987,Nihon Bussan,,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v:action>runandgun #arcadeboard:nichibutsu #search:tate>ccw #set:1 #lang:en #unlicensed:bootleg #mamerom:legion>legionjb,a34ef105de178d8322e08afbab644bbb,17c6b5c6ca260180ec2e4243a2a5e74552ce096a,2c2ed089945c8c05b4e507288b4bfae78a8a6cd23e3b9d766c96faf4446272ac,0f71e43740a5efc414beb5e168e489935517fd43ee574bd560a94731e12313dd1fb8d2588c674892f532ae4ed5fc39ca32fead30e35e31ffdf305d5ef2ff60bb
Chōji Meikyū Legion,超時迷宮 Legion,Chōji Meikyū Legion: Spinner-87,超時迷宮 Legion レジオン Spinner-87,choujimeikyuulegion,Japan,1987,Nihon Bussan,,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v:action>runandgun #arcadeboard:nichibutsu #search:tate>ccw #set:2 #lang:en #unlicensed:bootleg #mamerom:legion>legionjb2,a34ef105de178d8322e08afbab644bbb,17c6b5c6ca260180ec2e4243a2a5e74552ce096a,2c2ed089945c8c05b4e507288b4bfae78a8a6cd23e3b9d766c96faf4446272ac,0f71e43740a5efc414beb5e168e489935517fd43ee574bd560a94731e12313dd1fb8d2588c674892f532ae4ed5fc39ca32fead30e35e31ffdf305d5ef2ff60bb
Legion: Spinner-87,=,Legion: Spinner-87,=,choujimeikyuulegion,USA,1987,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v:action>runandgun #arcadeboard:nichibutsu #search:tate>ccw #lang:en #mameparent #mamerom:legion,a34ef105de178d8322e08afbab644bbb,17c6b5c6ca260180ec2e4243a2a5e74552ce096a,2c2ed089945c8c05b4e507288b4bfae78a8a6cd23e3b9d766c96faf4446272ac,0f71e43740a5efc414beb5e168e489935517fd43ee574bd560a94731e12313dd1fb8d2588c674892f532ae4ed5fc39ca32fead30e35e31ffdf305d5ef2ff60bb
City Love,=,City Love,City Love シティラブ,citylove,Japan,1986-09-04,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mamerom:citylove>mcitylov,3c6a7a59f9935ed10186ee24949c53b6,c942c2c99888be4f54db639405a3a9b712721f27,fce97a324db85659498cbf02582757727380e9d0d4f37fecd21514d757640e2d,957ce5aa5215ec80c376f2abcf95f803852a39adb151a86b9dfb8469a3f0fc5a8d1a11872ef5868152dc0ef6cd9a162cd8f01677925e52206ac4bb61ca200ebd
City Love,=,City Love,City Love シティラブ,citylove,Japan,1986-09-08,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mameparent #mamerom:citylove,3c6a7a59f9935ed10186ee24949c53b6,c942c2c99888be4f54db639405a3a9b712721f27,fce97a324db85659498cbf02582757727380e9d0d4f37fecd21514d757640e2d,957ce5aa5215ec80c376f2abcf95f803852a39adb151a86b9dfb8469a3f0fc5a8d1a11872ef5868152dc0ef6cd9a162cd8f01677925e52206ac4bb61ca200ebd
Cop 01,=,Cop 01,Cop 01 コップゼロワン,cop01,Japan,1985-09,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:alt #genre:action>runandgun #arcadeboard:nichibutsu #set:1 #lang:en #mameparent #mamerom:cop01,d23e63ede0121a9299573f3701764e1d,67b3322f2b0e55446bb91eecfd396690f8ab11c8,3a9770f81ba459bdddb35edbe38072d5f4ed02ea1fd0127fb97a08b4d8cfefec,c43d21261eb68818edd0b680ed303799b663ba8bd3f03eab56c09f31738d6d83ee9eaf48c1011ca761e76dcb7b401d658357bc592c9e593204adf3bac25fadc9
Cop 01,=,Cop 01,Cop 01 コップゼロワン,cop01,Japan,1985,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:alt #genre:action>runandgun #arcadeboard:nichibutsu #set:2 #lang:en #mamerom:cop01>cop01a,d23e63ede0121a9299573f3701764e1d,67b3322f2b0e55446bb91eecfd396690f8ab11c8,3a9770f81ba459bdddb35edbe38072d5f4ed02ea1fd0127fb97a08b4d8cfefec,c43d21261eb68818edd0b680ed303799b663ba8bd3f03eab56c09f31738d6d83ee9eaf48c1011ca761e76dcb7b401d658357bc592c9e593204adf3bac25fadc9
Cosmo Police Galivan,=,Cosmo Police Galivan,Cosmo Police Galivan コスモポリス ギャリバン,cosmopolicegalivan,Japan,1985-12-11,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer>hackandslash #arcadeboard:nichibutsu #search:tate>ccw #lang:en #mamerom:galivan>galivan3,5ffcaec2048ec7bf856fec2a965f400d,11e1db5ac80be26eeb3679c779b636c5f91434af,279f9cb21eac601bb74a2a845f3907c3f8565479bb2f2d3670a44420a393dfa4,0a8da1397513c3699ec35e65d48fb94ea2027b97e21e44c77d54ad44f59466719b2152be6194901280f81a22702ad4f388bea2312f3e2ba5fc9873359ea5e166
Cosmo Police Galivan,=,Cosmo Police Galivan,=,cosmopolicegalivan,World,1985-12-16,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer>hackandslash #arcadeboard:nichibutsu #search:tate>ccw #lang:en #rev:1 #mamerom:galivan>galivan2,5ffcaec2048ec7bf856fec2a965f400d,11e1db5ac80be26eeb3679c779b636c5f91434af,279f9cb21eac601bb74a2a845f3907c3f8565479bb2f2d3670a44420a393dfa4,0a8da1397513c3699ec35e65d48fb94ea2027b97e21e44c77d54ad44f59466719b2152be6194901280f81a22702ad4f388bea2312f3e2ba5fc9873359ea5e166
Cosmo Police Galivan,=,Cosmo Police Galivan,=,cosmopolicegalivan,World,1986-12-26,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer>hackandslash #arcadeboard:nichibutsu #search:tate>ccw #lang:en #rev:2 #mameparent #mamerom:galivan,5ffcaec2048ec7bf856fec2a965f400d,11e1db5ac80be26eeb3679c779b636c5f91434af,279f9cb21eac601bb74a2a845f3907c3f8565479bb2f2d3670a44420a393dfa4,0a8da1397513c3699ec35e65d48fb94ea2027b97e21e44c77d54ad44f59466719b2152be6194901280f81a22702ad4f388bea2312f3e2ba5fc9873359ea5e166
Country Girl,=,Country Girl,Country Girl カントリーガール,countrygirl,Japan,1984,Royal Denshi,Nichibutsu,#input:buttons>5 #players:2:alt #genre:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mameparent #mamerom:cntrygrl,d1dda122ffac97896f54097bf274401f,824bf7178815391aed00111127b8a34d80f9b7dc,878fbc9c92a9231da48185833d5e569d5542e49aa7991862a498b5251c860663,6045c10dd4114794ed57eb233d3d43bbd05bc9ce035e0cb92d727b3279b364713a2bd0df01e042167ba1fd3ebd51eb0266bf06486744a9170cf2f284b9b232c3
Country Girl,=,Country Girl,Country Girl カントリーガール,countrygirl,Japan,1984,Nihon Bussan,Nichibutsu,#input:buttons>5 #players:2:alt #genre:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mamerom:cntrygrl>cntrygrla,d1dda122ffac97896f54097bf274401f,824bf7178815391aed00111127b8a34d80f9b7dc,878fbc9c92a9231da48185833d5e569d5542e49aa7991862a498b5251c860663,6045c10dd4114794ed57eb233d3d43bbd05bc9ce035e0cb92d727b3279b364713a2bd0df01e042167ba1fd3ebd51eb0266bf06486744a9170cf2f284b9b232c3
Fruits & Bunny,=,Fruits & Bunny,Fruits & Bunny フルーツ&バニー,countrygirl,Japan,1984,Nihon Bussan,Nichibutsu,#input:buttons>5 #players:2:alt #genre:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:cntrygrl>fruitbun,d1dda122ffac97896f54097bf274401f,824bf7178815391aed00111127b8a34d80f9b7dc,878fbc9c92a9231da48185833d5e569d5542e49aa7991862a498b5251c860663,6045c10dd4114794ed57eb233d3d43bbd05bc9ce035e0cb92d727b3279b364713a2bd0df01e042167ba1fd3ebd51eb0266bf06486744a9170cf2f284b9b232c3
Crazy Climber,=,Crazy Climber,Crazy Climber クレージー・クライマー,crazyclimber,Japan,1980-11-10,Nihon Bussan/Jorudan,Nichibutsu,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:en #mamerom:cclimber>cclimberj,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,USA,1981-02,Nihon Bussan/Jorudan,Taito,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #set:1 #lang:en #mameparent #mamerom:cclimber,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,USA,1981,Nihon Bussan/Jorudan,Taito,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #set:2 #lang:en #mamerom:cclimber>cclimbera,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,USA,1981,Nihon Bussan/Jorudan,,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #set:1 #lang:en #unlicensed:bootleg #mamerom:cclimber>ccboot,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,USA,1981,Nihon Bussan/Jorudan,,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #set:2 #lang:en #unlicensed:bootleg #mamerom:cclimber>ccboot2,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,Italy,1981,Nihon Bussan/Jorudan,ManilaMatic,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:es #unlicensed:bootleg #mamerom:cclimber>ccbootmm,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,Italy,1981,Nihon Bussan/Jorudan,Model Racing,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:es #unlicensed:bootleg #mamerom:cclimber>ccbootmr,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,Spain,1981,Nihon Bussan/Jorudan,Rodmar,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:es #unlicensed:bootleg #mamerom:cclimber>cclimbrrod,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber,=,Crazy Climber,=,crazyclimber,Spain,1981,Nihon Bussan/Jorudan,Operamatic,#input:doublejoystick>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:es #unlicensed:bootleg #mamerom:cclimber>cclimbroper,d8df23ee268170d4a2b6f7e62250f25a,bd09e5889496af70c41d9a811a85e6f16eebe2d5,84cc9f804d51d855207baa1065644b4e5b57158207e09f7f19529ad0b0692e33,63d9beea655e401b92a2296f659a900426950f8a7ea22756ca8a2e96962c3a8b9c7b501ce514e9322638c8060238e91adf23126a9d89270193734823ee84f6ea
Crazy Climber 2,=,Crazy Climber 2,=,crazyclimber2,Japan,1988-10,Nihon Bussan,Nichibutsu,#input:joystick>double>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #search:keyword>brand #lang:en #mameparent #mamerom:cclimbr2,f0e798f9f6e0e5c10e91c19c06ea83d1,12a06ef2f3b57caa70bbc6104c29ba62b495bae3,b30ded05217e03da103c20a162264fa6d412943e7e8b69e849583f73e3f930b1,f874f0dadfbff8556c4d1c9894c7c9deabeef9450473b66d7023d8c14ccefc057a016616e09beeae2b5a7465dfcd7c80da94cf307ee8e1f6464a1269ee4befc4
Crazy Climber 2 (Harder),=,Crazy Climber 2 (Harder),=,crazyclimber2,Japan,1988,Nihon Bussan,Nichibutsu,#input:joystick>double>8 #players:2:alt #genre:action #arcadeboard:nichibutsu #search:keyword>brand #lang:en #mamerom:cclimbr2>cclimbr2a,f0e798f9f6e0e5c10e91c19c06ea83d1,12a06ef2f3b57caa70bbc6104c29ba62b495bae3,b30ded05217e03da103c20a162264fa6d412943e7e8b69e849583f73e3f930b1,f874f0dadfbff8556c4d1c9894c7c9deabeef9450473b66d7023d8c14ccefc057a016616e09beeae2b5a7465dfcd7c80da94cf307ee8e1f6464a1269ee4befc4
Crystal Gal Mahjong,=,Crystal Gal Mahjong,Crystal Gal Mahjong クリスタル　ギャル,crystalgalmahjong,Japan,1986-05-12,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:crystalg,0f4dee09cd4a484aa681621028febfad,1f05eba4178b436d68a94d3004837b6f725e84bb,dd91ee9b29b58db3e95878108af15fb86fb5668b12a1c9a407cac519cb785838,34a8702256e2644d66943ef942f02a8353f7b3c43fc6ed19d90a70b83a7a42d337305b0c637dc479e22e48ef7fb127fad77559b872835d248037389b901e2c94
Crystal Gal II Mahjong,=,Crystal Gal II Mahjong,Crystal Gal Mahjong II クリスタル　ギャル・II,crystalgal2mahjong,Japan,1986-06-20,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:crystal2,b571297b103b58069e3258b965af6477,2b46e0fae8e33b584003c29436e13415aebb8d0b,5c2515d8cc66b86f19e23d7aa4023f46c4e3329dd6cd24bf562bd03a33036407,cc023c84809ea6754e9c3f0a462eb085a005a240fe4bd60c6718d8ea470b051f7342c06d9b795773ed95eda159ef7805af6ef979e9781298a77d7ee9dbc831ac
Dacholer,=,Dacholer,=,dacholer,Japan,1983-10,Nihon Bussan,Nichibutsu,#input:joystick>4:buttons>1 #players:2:alt #genre:action #arcadeboard:nichibutsu #lang:en #mameparent #mamerom:dacholer,a30801c12e2c412685b1815e975236d3,2a87d765147681b2083071030095be756f7c5e8d,71a7f06c3c0ce737713fa1e3b95351edeac6d3dd5eb28e2f6122923562a48d6e,b746911a7e9b1688eeeb821057b33b88ad4205a1028e29f3da6493b69a98bcac3af0da0647761c6838cea67467b74874a0bb06198291267c0eaf4e6d69a5b07d
